# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Sep 19 09:09:12 2022
#
# User preference: *
#
# CONSTRAINT:  where (sy_pnum <> 1
# CONSTRAINT:  and sy_diststr not null)
# CONSTRAINT:  order by sy_dist asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN pl_rvamp:       Radial Velocity Amplitude [m/s]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_radv:        Systemic Radial Velocity [km/s]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_plx:         Parallax [mas]
#
pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor,pl_ratror,pl_rvamp,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,rastr,ra,decstr,dec,sy_dist,sy_plx
GJ 1061 d,GJ 1061,1,3,13.03100000,0.054000,1.160,0.103,1.64000,0.00516,Msini,5.770000,0.530000,0.60,,,,,1.860,M5.5 V,2953.00,0.16,0.12,-0.080,[Fe/H],-2.770,5.16,7.000,47.56190,2.5000,,1.06,03h36m00.78s,54.0032486,-44d30m51.52s,-44.5143104,3.6727800,272.2450000
YZ Cet b,YZ Cet,1,3,2.02087000,0.016340,0.913,0.081,0.70000,0.00220,Msini,5.050000,0.060000,8.21,471,,,,1.310,M4.5 V,3151.00,0.16,0.14,-0.180,[Fe/H],-2.659,5.17,3.800,,2.0000,68.28,28.30,01h12m31.94s,18.1330792,-16d59m46.48s,-16.9962434,3.7120700,269.3630000
YZ Cet c,YZ Cet,1,3,3.05989000,0.021560,1.050,0.093,1.14000,0.00359,Msini,5.410000,0.000000,4.72,410,,,,1.840,M4.5 V,3151.00,0.16,0.14,-0.180,[Fe/H],-2.659,5.17,3.800,,2.0000,68.28,28.30,01h12m31.94s,18.1330792,-16d59m46.48s,-16.9962434,3.7120700,269.3630000
YZ Cet d,YZ Cet,1,3,4.65626000,0.028510,1.030,0.092,1.09000,0.00343,Msini,5.480000,0.070000,2.70,357,,,,1.540,M4.5 V,3151.00,0.16,0.14,-0.180,[Fe/H],-2.659,5.17,3.800,,2.0000,68.28,28.30,01h12m31.94s,18.1330792,-16d59m46.48s,-16.9962434,3.7120700,269.3630000
Teegarden's Star b,Teegarden's Star,1,2,4.91000000,0.025200,1.020,0.091,1.05000,0.00330,Msini,5.440000,0.000000,1.15,,,,,2.020,M7.0 V,2904.00,0.11,0.09,-0.190,[Fe/H],-3.137,5.27,8.000,79.80688,2.0000,,,02h53m04.59s,43.2691449,+16d51m53.65s,16.8649024,3.8307800,261.0150000
Teegarden's Star c,Teegarden's Star,1,2,11.40900000,0.044300,1.040,0.093,1.11000,0.00349,Msini,5.420000,0.000000,0.37,,,,,1.610,M7.0 V,2904.00,0.11,0.09,-0.190,[Fe/H],-3.137,5.27,8.000,79.80688,2.0000,,,02h53m04.59s,43.2691449,+16d51m53.65s,16.8649024,3.8307800,261.0150000
Wolf 1061 b,Wolf 1061,1,3,4.88690000,0.037500,1.210,0.108,1.91000,0.00601,Msini,5.920000,0.150000,7.34,,,,,1.670,M3.5,3342.00,0.31,0.29,-0.090,[Fe/H],-1.991,4.90,,12.74782,,95.00,-21.04,16h30m17.96s,247.5748276,-12d40m03.67s,-12.6676866,4.3059200,232.2100000
Wolf 1061 c,Wolf 1061,1,3,17.87190000,0.089000,1.660,0.148,3.41000,0.01073,Msini,4.100000,0.110000,1.30,,,,,1.920,M3.5,3342.00,0.31,0.29,-0.090,[Fe/H],-1.991,4.90,,12.74782,,95.00,-21.04,16h30m17.96s,247.5748276,-12d40m03.67s,-12.6676866,4.3059200,232.2100000
Wolf 1061 d,Wolf 1061,1,3,217.21000000,0.470000,2.690,0.240,7.70000,0.02423,Msini,2.170000,0.550000,0.06,,,,,2.230,M3.5,3342.00,0.31,0.29,-0.090,[Fe/H],-1.991,4.90,,12.74782,,95.00,-21.04,16h30m17.96s,247.5748276,-12d40m03.67s,-12.6676866,4.3059200,232.2100000
GJ 687 b,GJ 687,1,2,38.14200000,0.163000,4.320,0.385,17.20000,0.05412,Msini,1.170000,0.170000,,,,,,6.140,M3 V,3413.00,0.42,0.40,0.063,[Fe/H],-1.672,4.86,,8.37834,,,-28.80,17h36m25.00s,264.1041731,+68d20m01.23s,68.3336741,4.5493900,219.7810000
GJ 687 c,GJ 687,1,2,727.56200000,1.165000,4.140,0.369,16.00000,0.05034,Msini,1.240000,0.400000,,,,,,2.440,M3.0V,3413.00,0.42,0.40,0.063,[Fe/H],-1.672,4.82,,8.37834,,,-28.80,17h36m25.00s,264.1041731,+68d20m01.23s,68.3336741,4.5493900,219.7810000
GJ 876 b,GJ 876,1,4,61.11660000,0.208317,13.300,1.190,723.22350,2.27560,Mass,1.690000,0.032400,,,59.000,,,214.000,M4 V,3293.74,0.30,0.32,0.213,[Fe/H],-1.907,4.87,1.000,10.86557,0.1600,,-1.60,22h53m17.75s,343.3239737,-14d15m59.74s,-14.2665958,4.6751700,213.8670000
GJ 876 c,GJ 876,1,4,30.08810000,0.129590,14.000,1.250,226.98460,0.71420,Mass,0.455000,0.255910,,,59.000,,,88.340,M4 V,3293.74,0.30,0.32,0.213,[Fe/H],-1.907,4.87,1.000,10.86557,0.1600,,-1.60,22h53m17.75s,343.3239737,-14d15m59.74s,-14.2665958,4.6751700,213.8670000
GJ 876 d,GJ 876,1,4,1.93778000,0.020807,2.510,0.224,6.83000,0.02100,Mass,2.370000,0.207000,,,59.000,,,6.560,M4 V,3293.74,0.30,0.32,0.213,[Fe/H],-1.907,4.87,1.000,10.86557,0.1600,,-1.60,22h53m17.75s,343.3239737,-14d15m59.74s,-14.2665958,4.6751700,213.8670000
GJ 876 e,GJ 876,1,4,124.26000000,0.334300,3.920,0.350,14.60000,0.04600,Mass,1.330000,0.055000,,,59.000,,,3.420,M2.5V,3271.00,0.30,0.32,0.213,[Fe/H],-1.907,4.87,1.000,10.86557,0.1600,,-1.60,22h53m17.75s,343.3239737,-14d15m59.74s,-14.2665958,4.6751700,213.8670000
GJ 832 b,GJ 832,1,2,3657.00000000,3.560000,14.000,1.250,216.00000,0.68000,Msini,0.433000,0.080000,,,,,,15.400,M1.5,3472.00,0.44,0.45,-0.300,[Fe/H],-1.585,4.70,9.240,7.16403,,,12.52,21h33m33.90s,323.3912616,-49d00m45.06s,-49.0125169,4.9643500,201.4070000
GJ 832 c,GJ 832,1,2,35.68000000,0.163000,2.180,0.195,5.40000,0.01700,Msini,2.860000,0.180000,,,,,,1.790,M1.5V,3472.00,0.44,0.45,-0.300,[Fe/H],-1.585,4.70,9.240,7.16403,,,12.52,21h33m33.90s,323.3912616,-49d00m45.06s,-49.0125169,4.9643500,201.4070000
GJ 682 b,GJ 682,1,2,17.47800000,0.080000,1.930,0.173,4.40000,0.01384,Msini,3.360000,0.080000,,,,,,2.990,M3.5 V,3028.00,0.30,0.27,,,-2.699,4.93,,14.59297,,,,17h37m02.65s,264.2610245,-44d19m23.71s,-44.3232519,5.0067100,199.7030000
GJ 682 c,GJ 682,1,2,57.32000000,0.176000,2.890,0.258,8.70000,0.02737,Msini,1.980000,0.100000,,,,,,3.980,M3.5 V,3028.00,0.30,0.27,,,-2.699,4.93,,14.59297,,,,17h37m02.65s,264.2610245,-44d19m23.71s,-44.3232519,5.0067100,199.7030000
GJ 3323 b,GJ 3323,1,2,5.36360000,0.032820,1.230,0.109,2.02000,0.00636,Msini,5.960000,0.230000,2.58,,,,,2.550,M4,3159.00,0.12,0.16,-0.270,[Fe/H],-2.569,,,,,33.00,42.45,05h01m56.85s,75.4868824,-06d56m54.65s,-6.9485133,5.3748400,186.0230000
GJ 3323 c,GJ 3323,1,2,40.54000000,0.126400,1.320,0.118,2.31000,0.00727,Msini,5.520000,0.170000,0.17,,,,,1.490,M4,3159.00,0.12,0.16,-0.270,[Fe/H],-2.569,,,,,33.00,42.45,05h01m56.85s,75.4868824,-06d56m54.65s,-6.9485133,5.3748400,186.0230000
GJ 411 b,GJ 411,1,2,12.93940000,0.078790,1.450,0.129,2.69000,0.00846,Msini,4.850000,0.063000,3.13,350,,,,1.381,M1.5 V,3719.00,0.37,0.39,-0.362,[Fe/H],-1.710,4.90,8.047,9.60131,2.0000,56.16,-84.65,11h03m20.27s,165.8344710,+35d58m20.34s,35.9723170,5.6757730,392.4000000
HD 95735 c,GJ 411,1,2,2946.00000000,2.940000,3.760,0.335,13.60000,0.04279,Msini,1.410000,0.132000,,,,,,1.160,M1.5 V,3719.00,0.37,0.39,-0.362,[Fe/H],-1.710,4.90,8.047,9.60131,2.0000,56.16,-84.65,11h03m20.27s,165.8344710,+35d58m20.34s,35.9723170,5.6757730,392.4000000
GJ 229 A c,GJ 229,2,2,121.99500000,0.339000,2.600,0.232,7.26800,0.02287,Msini,2.270000,0.190000,,,,,,1.930,M1.5V,3912.54,0.46,0.58,,,-1.222,4.69,0.400,4.64116,1.0000,,4.02,06h10m34.46s,92.6435993,-21d52m03.80s,-21.8677233,5.7562400,173.6960000
GJ 229 b,GJ 229,2,2,526.11500000,0.898000,2.850,0.254,8.47800,0.02667,Msini,2.010000,0.100000,,,,,,1.370,M1/M2 V,3564.00,0.46,0.58,,,-1.553,4.69,0.400,4.64116,1.0000,,4.02,06h10m34.46s,92.6435993,-21d52m03.80s,-21.8677233,5.7562400,173.6960000
GJ 273 b,GJ 273,1,2,18.64980000,0.091101,1.510,0.135,2.89000,0.00909,Msini,4.610000,0.100000,1.06,,,,,1.610,M3.5,3382.00,0.29,0.29,0.090,[Fe/H],-2.056,4.91,,13.19438,,99.00,18.41,07h27m24.50s,111.8520910,+05d13m32.91s,5.2258070,5.9215350,263.2600000
GJ 273 c,GJ 273,1,2,4.72340000,0.036467,1.060,0.094,1.18000,0.00371,Msini,5.440000,0.170000,6.66,,,,,1.060,M3.5,3382.00,0.29,0.29,0.090,[Fe/H],-2.056,4.91,,13.19438,,99.00,18.41,07h27m24.50s,111.8520910,+05d13m32.91s,5.2258070,5.9215350,263.2600000
HD 20794 b,HD 20794,1,4,18.31500000,0.120700,1.450,0.129,2.70000,0.00850,Msin(i)/sin(i),4.870000,0.000000,,660,90.000,,,0.830,G8 V,5401.00,0.92,0.70,-0.400,[Fe/H],-0.163,4.22,5.760,1.70389,3.0000,,87.95,03h19m59.94s,49.9997666,-43d03m59.95s,-43.0666533,6.0027800,166.5610000
HD 20794 c,HD 20794,1,4,40.11400000,0.203600,1.350,0.121,2.40000,0.00760,Msin(i)/sin(i),5.360000,0.000000,,508,90.000,,,0.560,G8 V,5401.00,0.92,0.70,-0.400,[Fe/H],-0.163,4.22,5.760,1.70389,3.0000,,87.95,03h19m59.94s,49.9997666,-43d03m59.95s,-43.0666533,6.0027800,166.5610000
HD 20794 d,HD 20794,1,4,90.30900000,0.349900,2.040,0.182,4.80000,0.01500,Msin(i)/sin(i),3.110000,0.000000,,388,90.000,,,0.850,G8 V,5401.00,0.92,0.70,-0.400,[Fe/H],-0.163,4.22,5.760,1.70389,3.0000,,87.95,03h19m59.94s,49.9997666,-43d03m59.95s,-43.0666533,6.0027800,166.5610000
HD 20794 e,HD 20794,1,4,147.02000000,0.509000,2.030,0.181,4.77000,0.01501,Msini,3.130000,0.290000,,,,,,0.690,G8,5401.00,0.92,0.81,-0.403,[M/H],-0.163,4.46,5.760,1.70389,2.0000,,87.95,03h19m59.94s,49.9997666,-43d03m59.95s,-43.0666533,6.0027800,166.5610000
GJ 581 b,GJ 581,1,3,5.36860000,0.040610,4.110,0.366,15.80000,0.04970,Msini,1.250000,0.000000,,,,,,12.600,M3 V,3396.00,0.33,0.31,-0.088,[Fe/H],-1.885,4.89,4.300,12.22384,2.1000,,-9.21,15h19m25.55s,229.8564725,-07d43m21.70s,-7.7226935,6.2981000,158.7490000
GJ 581 c,GJ 581,1,3,12.91400000,0.072100,2.210,0.197,5.50000,0.01730,Msini,2.800000,0.000000,,,,,,3.300,M3 V,3396.00,0.33,0.31,-0.088,[Fe/H],-1.885,4.89,4.300,12.22384,2.1000,,-9.21,15h19m25.55s,229.8564725,-07d43m21.70s,-7.7226935,6.2981000,158.7490000
GJ 581 e,GJ 581,1,3,3.14900000,0.028150,1.170,0.104,1.70000,0.00530,Msini,5.830000,0.000000,,,,,,1.700,M3 V,3396.00,0.33,0.31,-0.088,[Fe/H],-1.885,4.89,4.300,12.22384,2.1000,,-9.21,15h19m25.55s,229.8564725,-07d43m21.70s,-7.7226935,6.2981000,158.7490000
HD 219134 b,HD 219134,1,6,3.09292600,0.038760,1.602,0.143,4.74000,0.01491,Mass,6.340000,0.000000,176.20,1015,85.050,,,2.381,K3 V,4699.00,0.78,0.81,0.110,[Fe/H],-0.577,4.57,11.000,2.43800,0.4000,,-18.42,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.5312700,153.0810000
HD 219134 c,HD 219134,1,6,6.76458000,0.065300,1.511,0.135,4.36000,0.01372,Mass,6.950000,0.062000,62.10,782,87.280,,,1.697,K3 V,4699.00,0.78,0.81,0.110,[Fe/H],-0.577,4.57,11.000,2.43800,0.4000,,-18.42,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.5312700,153.0810000
HD 219134 d,HD 219134,1,6,46.85900000,0.237000,1.610,0.144,16.17000,0.05088,Mass,,0.138000,4.72,410,,,,3.340,K3 V,4699.00,0.78,0.81,0.110,[Fe/H],-0.577,4.57,11.000,2.43800,0.4000,,-18.42,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.5312700,153.0810000
HD 219134 f,HD 219134,1,6,22.71700000,0.146300,1.310,0.117,7.30000,0.02297,Mass,,0.148000,12.38,523,,,,1.920,K3 V,4699.00,0.78,0.81,0.110,[Fe/H],-0.577,4.57,11.000,2.43800,0.4000,,-18.42,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.5312700,153.0810000
HD 219134 g,HD 219134,1,6,94.20000000,0.375300,3.280,0.293,10.80622,0.03400,Msini,1.680000,0.000000,,,,,,1.800,K3 V,4913.00,0.77,0.79,0.080,[Fe/H],-0.509,4.51,12.460,2.43800,0.4000,,-18.42,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.5312700,153.0810000
HD 219134 h,HD 219134,1,6,2247.00000000,3.110000,12.700,1.140,108.06220,0.34000,Msini,0.290000,0.060000,,,,,,6.100,K3 V,4913.00,0.77,0.79,0.080,[Fe/H],-0.509,4.51,12.460,2.43800,0.4000,,-18.42,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.5312700,153.0810000
LTT 1445 A b,LTT 1445 A,3,2,5.35876570,0.038130,1.305,0.116,2.87000,0.00903,Mass,7.100000,0.110000,5.40,424,89.680,30.900000,0.04510,2.600,M2.5V,3340.00,0.27,0.26,-0.340,[Fe/H],-2.046,4.97,,17.30000,3.4000,,-5.43,03h01m50.99s,45.4624781,-16d35m40.18s,-16.5944956,6.8692900,145.5470000
LTT 1445 A c,LTT 1445 A,3,2,3.12390350,0.026610,1.147,0.102,1.54000,0.00485,Mass,5.570000,0.223000,10.90,508,87.430,21.560000,0.03960,1.670,M2.5V,3340.00,0.27,0.26,-0.340,[Fe/H],-2.046,4.95,,16.73492,3.4000,,-5.43,03h01m50.99s,45.4624781,-16d35m40.18s,-16.5944956,6.8692900,145.5470000
GJ 667 C b,GJ 667 C,3,5,7.20040000,0.050500,2.230,0.199,5.60000,0.01800,Msini,2.770000,0.130000,,,,,,3.930,M1.5 V,3350.00,,0.33,-0.550,[Fe/H],-1.863,4.69,2.000,,,,6.50,17h19m00.25s,259.7510609,-34d59m51.95s,-34.9977651,7.2439600,138.0170000
GJ 667 C c,GJ 667 C,3,5,28.14000000,0.125000,1.770,0.158,3.80000,0.01200,Msini,3.770000,0.020000,,,,,,1.710,M1.5 V,3350.00,,0.33,-0.550,[Fe/H],-1.863,4.69,2.000,,,,6.50,17h19m00.25s,259.7510609,-34d59m51.95s,-34.9977651,7.2439600,138.0170000
GJ 667 C e,GJ 667 C,3,5,62.24000000,0.213000,1.450,0.129,2.70000,0.00800,Msini,4.870000,0.020000,,,,,,0.920,M1.5 V,3350.00,,0.33,-0.550,[Fe/H],-1.863,4.69,2.000,,,,6.50,17h19m00.25s,259.7510609,-34d59m51.95s,-34.9977651,7.2439600,138.0170000
GJ 667 C f,GJ 667 C,3,5,39.02600000,0.156000,1.450,0.129,2.70000,0.00800,Msini,4.870000,0.030000,,,,,,1.080,M1.5 V,3350.00,,0.33,-0.550,[Fe/H],-1.863,4.69,2.000,,,,6.50,17h19m00.25s,259.7510609,-34d59m51.95s,-34.9977651,7.2439600,138.0170000
GJ 667 C g,GJ 667 C,3,5,256.20000000,0.549000,1.990,0.177,4.60000,0.01400,Msini,3.210000,0.080000,,,,,,0.950,M1.5 V,3350.00,,0.33,-0.550,[Fe/H],-1.863,4.69,2.000,,,,6.50,17h19m00.25s,259.7510609,-34d59m51.95s,-34.9977651,7.2439600,138.0170000
61 Vir b,61 Vir,1,3,4.21500000,0.050201,2.110,0.188,5.10000,0.01600,Msini,2.980000,0.120000,,,,,,2.120,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],-0.095,4.34,8.960,1.44933,1.9000,,-8.20,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200,117.5730000
61 Vir c,61 Vir,1,3,38.02100000,0.217500,4.460,0.398,18.20000,0.05700,Msini,1.130000,0.140000,,,,,,3.620,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],-0.095,4.34,8.960,1.44933,1.9000,,-8.20,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200,117.5730000
61 Vir d,61 Vir,1,3,123.01000000,0.476000,5.110,0.456,22.90000,0.07200,Msini,0.943000,0.350000,,,,,,3.250,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],-0.095,4.34,8.960,1.44933,1.9000,,-8.20,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200,117.5730000
HD 192310 b,HD 192310,1,2,74.72000000,0.320000,4.270,0.381,16.90000,0.05320,Msin(i)/sin(i),1.190000,0.130000,,355,90.000,,,3.000,K3V,5166.00,0.86,0.80,-0.040,[Fe/H],-0.415,4.51,7.810,2.14570,3.0000,,-54.22,20h15m18.83s,303.8284712,-27d02m01.52s,-27.0337556,8.7968700,113.6480000
HD 192310 c,HD 192310,1,2,525.80000000,1.180000,5.250,0.469,24.00000,0.07600,Msin(i)/sin(i),0.911000,0.320000,,185,90.000,,,2.270,K3V,5166.00,0.81,0.80,-0.040,[Fe/H],-0.415,4.51,7.810,2.14570,3.0000,,-54.22,20h15m18.83s,303.8284712,-27d02m01.52s,-27.0337556,8.7968700,113.6480000
GJ 849 b,GJ 849,1,2,1915.00000000,2.409000,13.900,1.240,286.04557,0.90000,Msini,0.585000,0.038000,,,,,,24.400,M3.5,3562.68,0.47,0.49,0.220,[Fe/H],-1.583,4.77,3.000,6.51372,1.0000,,-15.30,22h09m41.52s,332.4229938,-04d38m26.99s,-4.6408317,8.8005800,113.6000000
GJ 849 c,GJ 849,1,2,7068.00000000,4.974000,14.000,1.250,223.11554,0.70200,Msini,0.447000,0.099000,,,,,,19.640,M3.5,3562.68,0.47,0.49,0.220,[Fe/H],-1.583,4.79,3.000,6.51372,1.0000,,-15.30,22h09m41.52s,332.4229938,-04d38m26.99s,-4.6408317,8.8005800,113.6000000
